user1,user2,similarity,match_prob,match,artificial intelligence_1,artificial intelligence_2,machine learning_1,machine learning_2,data science_1,data science_2,hackathon_1,hackathon_2,full stack development_1,full stack development_2,fintech_1,fintech_2,ui/ux design_1,ui/ux design_2,cybersecurity_1,cybersecurity_2,web development_1,web development_2,app development_1,app development_2,cloud computing_1,cloud computing_2,deep learning_1,deep learning_2,robotics_1,robotics_2,research_1,research_2,blockchain_1,blockchain_2,entrepreneurship_1,entrepreneurship_2,vibecoding_1,vibecoding_2,collaboration_1,collaboration_2,trading_1,trading_2,product management_1,product management_2
User25,User140,0.0,0.06297335605699649,0,0,10,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,6,0
User57,User84,0.0,0.06297335605699649,0,0,8,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
User52,User96,0.0,0.06297335605699649,0,0,0,0,7,0,0,0,0,6,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
User123,User189,0.2388335196751512,0.21977142683620238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,6,5
User37,User116,0.0,0.06297335605699649,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,7,0,0,0
User187,User190,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,8,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
User22,User99,0.0,0.06297335605699649,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,8
User129,User181,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0
User173,User199,0.03638770230694815,0.07715294357005874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1
User5,User144,0.271955765459602,0.2557330956846264,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,0,0
User43,User81,0.2254938084008487,0.20635518372282033,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,1,0
User66,User96,0.25594534844449573,0.2378817711351057,0,0,0,0,7,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,4,0,0,0,0,0
User31,User175,0.0,0.06297335605699649,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,8,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
User64,User141,0.0,0.06297335605699649,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0
User36,User101,0.0,0.06297335605699649,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,4,0,8,0
User29,User133,0.3017353500652585,0.2911948778084929,0,0,0,0,0,0,2,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,9,0,0,0,0,0
User104,User106,0.0,0.06297335605699649,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
User6,User109,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,2,2,0,0,10,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
User63,User97,0.0,0.06297335605699649,0,0,8,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,1,0,0
User9,User57,0.7180606252623699,0.833184090902574,1,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0
User117,User144,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,8,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,0
User103,User151,0.0,0.06297335605699649,0,0,0,6,0,0,0,0,7,0,0,0,8,0,0,0,0,4,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
User7,User175,0.0,0.06297335605699649,0,0,0,0,6,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
User113,User192,0.0,0.06297335605699649,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0
User30,User78,0.16885003700454498,0.1561839847118388,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,9,0
User155,User198,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,4,0,0,0,0,7,0,0,0,0
User22,User33,0.10127393670836667,0.10984196340345367,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
User20,User164,0.554593553871802,0.6519362942055287,1,0,0,0,0,0,0,7,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0
User5,User72,0.0,0.06297335605699649,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
User53,User103,0.0,0.06297335605699649,0,10,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0
User70,User94,0.31034576896503085,0.30197190146152203,0,6,0,0,0,0,0,0,0,0,7,0,0,5,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
User28,User193,0.0,0.06297335605699649,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,2,9,0
User13,User104,0.2982946269802768,0.2869523164963372,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,4,7
User92,User174,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0
User40,User141,0.0,0.06297335605699649,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0
User145,User190,0.545799224506608,0.6398689385390407,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,9,8,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
