name,artificial intelligence,machine learning,data science,hackathon,full stack development,fintech,ui/ux design,cybersecurity,web development,app development,cloud computing,deep learning,robotics,research,blockchain,entrepreneurship,vibecoding,collaboration,trading,product management
User1,4,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
User2,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
User3,4,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
User4,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0
User5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,3,0
User6,0,0,0,0,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0
User7,0,0,6,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
User8,0,2,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0
User9,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0
User10,0,2,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
User11,0,0,0,8,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0
User12,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,2,0
User13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,4
User14,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,1,0,0
User15,0,5,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0
User16,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,8,0
User17,0,0,0,0,4,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
User18,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,10,0,0
User19,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0
User20,0,0,0,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
User21,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,5
User22,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
User23,0,0,0,0,0,5,0,0,0,8,0,0,0,1,0,0,0,0,0,0
User24,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,9
User25,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6
User26,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0
User27,0,0,0,0,0,0,0,10,0,4,0,1,0,0,0,0,0,0,0,0
User28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9
User29,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0
User30,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,9
